Command Name,Command,Return Code,Success,STDOUT Log,STDERR Log
git_version,git --version,0,True,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\git_version_stdout.txt,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\git_version_stderr.txt
verify_git_root,git rev-parse --show-toplevel,0,True,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\verify_git_root_stdout.txt,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\verify_git_root_stderr.txt
git_config_user_name,git config user.name Nezar Halabia,0,True,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\git_config_user_name_stdout.txt,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\git_config_user_name_stderr.txt
git_config_user_email,git config user.email nezar@example.com,0,True,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\git_config_user_email_stdout.txt,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\git_config_user_email_stderr.txt
git_branch_main,git branch -M main,0,True,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\git_branch_main_stdout.txt,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\git_branch_main_stderr.txt
git_status_before_commits,git status --short,0,True,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\git_status_before_commits_stdout.txt,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\git_status_before_commits_stderr.txt
commit_01_project_structure_and_readme_git_add,git add .gitignore README.md PROJECT_STRUCTURE.md SUBMISSION_CHECKLIST.md GIT_SUBMISSION_GUIDE_FA.md FINAL_REPORT_OUTLINE_FA.md requirements.txt requirements_docker.txt,0,True,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\commit_01_project_structure_and_readme_git_add_stdout.txt,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\commit_01_project_structure_and_readme_git_add_stderr.txt
commit_01_project_structure_and_readme_git_commit,git commit -m Add final project documentation and dependency files,0,True,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\commit_01_project_structure_and_readme_git_commit_stdout.txt,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\commit_01_project_structure_and_readme_git_commit_stderr.txt
commit_02_data_versions_and_source_modules_git_add,git add data src run_pipeline.py run_final_inference_example.py PIPELINE_USAGE.md,0,True,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\commit_02_data_versions_and_source_modules_git_add_stdout.txt,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\commit_02_data_versions_and_source_modules_git_add_stderr.txt
commit_02_data_versions_and_source_modules_git_commit,"git commit -m Add data versions, modular source code, and executable pipeline",0,True,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\commit_02_data_versions_and_source_modules_git_commit_stdout.txt,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\commit_02_data_versions_and_source_modules_git_commit_stderr.txt
commit_03_model_outputs_reports_and_mlflow_git_add,git add models/final_model reports mlflow.db mlruns MLFLOW_USAGE.md EXPERIMENT_REPRODUCIBILITY_SUMMARY.md,0,True,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\commit_03_model_outputs_reports_and_mlflow_git_add_stdout.txt,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\commit_03_model_outputs_reports_and_mlflow_git_add_stderr.txt
commit_03_model_outputs_reports_and_mlflow_git_commit,"git commit -m Add final model package, MLflow tracking, and project reports",0,True,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\commit_03_model_outputs_reports_and_mlflow_git_commit_stdout.txt,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\commit_03_model_outputs_reports_and_mlflow_git_commit_stderr.txt
commit_04_docker_deployment_package_git_add,git add Dockerfile .dockerignore DOCKER_USAGE.md,0,True,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\commit_04_docker_deployment_package_git_add_stdout.txt,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\commit_04_docker_deployment_package_git_add_stderr.txt
commit_04_docker_deployment_package_git_commit,git commit -m Add lightweight Docker deployment package for final model inference,0,True,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\commit_04_docker_deployment_package_git_commit_stdout.txt,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\commit_04_docker_deployment_package_git_commit_stderr.txt
commit_05_evidence_structure_for_submission_git_add,git add evidence,0,True,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\commit_05_evidence_structure_for_submission_git_add_stdout.txt,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\commit_05_evidence_structure_for_submission_git_add_stderr.txt
commit_05_evidence_structure_for_submission_git_commit,"git commit -m Add evidence folders for MLflow, Docker, GitHub, and pipeline screenshots",0,True,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\commit_05_evidence_structure_for_submission_git_commit_stdout.txt,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\commit_05_evidence_structure_for_submission_git_commit_stderr.txt
git_status_final,git status,0,True,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\git_status_final_stdout.txt,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\git_status_final_stderr.txt
git_log_oneline_last_10,git log --oneline --decorate -10,0,True,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\git_log_oneline_last_10_stdout.txt,C:\Users\NezarHalabia\finallprogect\reports\step_13_git_repository_preparation\script_01_create_local_git_commits\logs\git_log_oneline_last_10_stderr.txt
